Timestep: 0-700, Program time: 430.276673 s, Sim. time: 0.968889 TU, Active/Total Cells: 432556/655954, Max key %: 1.526570e-07
Timestep: 0-715, Program time: 445.681066 s, Sim. time: 0.972983 TU, Active/Total Cells: 437753/697106, Max key %: 1.617790e-07
Timestep: 0-720, Program time: 457.955409 s, Sim. time: 0.974386 TU, Active/Total Cells: 440674/668182, Max key %: 1.649069e-07
Timestep: 0-740, Program time: 485.320390 s, Sim. time: 0.979827 TU, Active/Total Cells: 449355/681361, Max key %: 1.745635e-07
Timestep: 0-760, Program time: 513.108260 s, Sim. time: 0.985056 TU, Active/Total Cells: 457504/693419, Max key %: 1.812332e-07
Timestep: 0-780, Program time: 542.097282 s, Sim. time: 0.990068 TU, Active/Total Cells: 465231/704817, Max key %: 1.880986e-07
Timestep: 0-800, Program time: 571.489680 s, Sim. time: 0.994892 TU, Active/Total Cells: 473122/716752, Max key %: 1.987449e-07
Timestep: 0-820, Program time: 601.765272 s, Sim. time: 0.999508 TU, Active/Total Cells: 480792/728589, Max key %: 2.098379e-07
Timestep: 0-840, Program time: 633.393155 s, Sim. time: 1.003964 TU, Active/Total Cells: 488299/739863, Max key %: 2.136133e-07
Timestep: 0-860, Program time: 665.574595 s, Sim. time: 1.008312 TU, Active/Total Cells: 495464/750598, Max key %: 2.213964e-07
Timestep: 0-880, Program time: 698.632426 s, Sim. time: 1.012517 TU, Active/Total Cells: 502580/761264, Max key %: 2.293501e-07
Timestep: 0-900, Program time: 731.151611 s, Sim. time: 1.016681 TU, Active/Total Cells: 509993/772673, Max key %: 2.375371e-07
Timestep: 0-920, Program time: 764.303341 s, Sim. time: 1.020708 TU, Active/Total Cells: 517017/783654, Max key %: 2.501952e-07
Timestep: 0-940, Program time: 797.824118 s, Sim. time: 1.024568 TU, Active/Total Cells: 523924/794069, Max key %: 2.502022e-07
Timestep: 0-960, Program time: 831.985690 s, Sim. time: 1.028333 TU, Active/Total Cells: 530757/804291, Max key %: 2.589183e-07
